,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE
PROTOCOL,1.0,0.36835066603466277,0.4191634038693739,0.10646723581638186,0.13377697434122532,0.1346790806945001,0.5997849784090672,0.6265062075339694,0.22094361717756883,0.09701985070395644,0.09228267033990659,0.0715856492679545,0.04708409382195644,0.04695882689299373,0.39554843459499744,0.2377803612200898,0.22398756100779507,0.39554843459499744,0.332862626859279,0.13925510297093713,0.05837425484179482,0.05424199028445529,0.050273984702477376,0.04745700673743121,0.3069655293589453,0.16460400258264915,0.2878896684094393,0.18675950235743943,0.05634873383510599,0.04474637262236254,0.06866858390738588,0.2678040774986546,0.15817134643537273,0.09681878038680355,0.09681878038680355,0.22145312278463186,0.26287576561850917,0.2029508433390253,0.016492893956330034
L7_PROTO,0.36835066603466277,1.0,0.42230082178534495,0.1109104752936828,0.17676059308562744,0.13256354089992015,0.3301500622588072,0.3231596682394349,0.18514464536541747,0.30198231615554677,0.31055094560287766,0.06987188029642755,0.3696259477449167,0.36980160836960196,0.49911742485447075,0.3232462241644305,0.1513238641585921,0.49911742485447075,0.3850451614513565,0.18277383396738267,0.02779700994639281,0.03922221151170469,0.03387828080771407,0.03748208558059444,0.38531342974107596,0.19530364717555043,0.2580017969977267,0.213820411967265,0.040500303695644814,0.016954214901305404,0.08154130524072413,0.21670588068046273,0.13710568369279127,0.09813016907778582,0.09813016907778582,0.12875481765477276,0.15307400486730285,0.1105782393456311,0.025548954976696313
IN_BYTES,0.4191634038693739,0.42230082178534495,1.0,0.4535593919010521,0.38154612988121295,0.34849357280123494,0.4745987364717719,0.48885031243526733,0.33592540643475405,0.26633254236203185,0.2767553449048986,0.0904694191304857,0.3720732696972428,0.3721341539478464,0.580177875681148,0.4881532872350242,0.36327752343632147,0.580177875681148,0.7871942431851671,0.3784768057164361,0.1325278086967904,0.11800336985057087,0.10487577008269632,0.09838503213477101,0.6355067519676731,0.3401076803614189,0.45273487620910086,0.3428243925795377,0.1353011582844928,0.10589098602742857,0.14697179312015224,0.4468561528539333,0.282936637126392,0.13052755207571018,0.13052755207571018,0.21214769585702292,0.27388909579631804,0.18178325875961726,0.04077884768767123
IN_PKTS,0.10646723581638186,0.1109104752936828,0.4535593919010521,1.0,0.3546335045742853,0.5300482949963006,0.3487015201116089,0.364845564269474,0.4070096154470586,0.1018209424004343,0.10462759540498966,0.11986284793672367,0.23146151295843145,0.23129889130049186,0.2969390710983473,0.15929672391109814,0.1365167158952455,0.2969390710983473,0.4151391061825525,0.3438076115736516,0.21946208209969162,0.21482985750535663,0.17511843926834905,0.16815906046114715,0.2664304778613412,0.25462251277815423,0.5567964360294309,0.16059038513628426,0.20586319761614122,0.15197940166313892,0.20635145182549008,0.34816194740240247,0.3887687813084253,0.10033578596088193,0.10033578596088193,0.06532910026183066,0.07719682576144843,0.06084932815799168,0.062282597558410695
OUT_BYTES,0.13377697434122532,0.17676059308562744,0.38154612988121295,0.3546335045742853,1.0,0.5110360345395414,0.40880803798041015,0.44155211821063334,0.4514914605731033,0.16410433827575752,0.16432725786976565,0.13980556159902094,0.25262082714999284,0.2526406736419701,0.5334980859326468,0.2811512919464206,0.3788139820913441,0.5334980859326468,0.37163881623197315,0.8490066854107462,0.1400985052659553,0.1313632449733483,0.1524087825967696,0.13663128801502153,0.33914553767769007,0.6497372374280139,0.3664674204249936,0.09701238775502184,0.17569106023745215,0.13698417015071526,0.2626480973006851,0.3237958277546238,0.4199202973723103,0.07494603709255322,0.07494603709255322,0.24885755005957177,0.31839316044691246,0.24250007261501155,0.05851738582253434
OUT_PKTS,0.1346790806945001,0.13256354089992015,0.34849357280123494,0.5300482949963006,0.5110360345395414,1.0,0.4462948358010514,0.4569126312863331,0.5125396836227374,0.1101778483683863,0.1072859799960321,0.19469326540626464,0.2463252315449277,0.24629891310866442,0.36099250873698213,0.18610294738498986,0.17993679113788616,0.36099250873698213,0.3140456216517344,0.4976999142167244,0.23379836403213297,0.23063256818226643,0.22549494491026542,0.2197560507903873,0.2606402378981669,0.33341382962162813,0.5350882063243858,0.08540195707330488,0.2402653382741287,0.17546145319502582,0.24338941226492478,0.4243780377916706,0.46763007705101417,0.10097281345808641,0.10097281345808641,0.05103098276207045,0.06265844706565978,0.057487268734400986,0.07515507009964381
TCP_FLAGS,0.5997849784090672,0.3301500622588072,0.4745987364717719,0.3487015201116089,0.40880803798041015,0.4462948358010514,1.0,0.8750350577233158,0.7198493405754184,0.1648980369590669,0.15436280547492415,0.18153985769888112,0.2705318603139611,0.270196963379202,0.5481264424041646,0.44491478500997544,0.2872328268970292,0.5481264424041646,0.4310102336531081,0.41466682236082386,0.12764979110659566,0.12386458190500013,0.13555544452244472,0.1357708521741668,0.4131844313019537,0.4492559097089796,0.5172759267875531,0.22552460653676917,0.1464615419656948,0.1068925557629495,0.16539755358507643,0.49055357789638276,0.45150391531501016,0.12061119159296896,0.12061119159296896,0.13401078860759086,0.15907278590628932,0.12282155752225278,0.1223372252977032
CLIENT_TCP_FLAGS,0.6265062075339694,0.3231596682394349,0.48885031243526733,0.364845564269474,0.44155211821063334,0.4569126312863331,0.8750350577233158,1.0,0.612029410969616,0.1500525611952831,0.14670300478267959,0.17589915376786225,0.25086471572425145,0.250809479055833,0.5671088088341578,0.36053312380200836,0.2844739135767704,0.5671088088341578,0.4488530444560454,0.44669736332548,0.13516223748626296,0.1309085923534987,0.13330094655417934,0.13552519232770158,0.43304664767963363,0.378166196868604,0.48204752175376053,0.2101945373591716,0.15086985574682657,0.10953538343161051,0.18195683528240927,0.5012053324601363,0.49738316156310675,0.12121326794025188,0.12121326794025188,0.14008199467582172,0.1662789784268065,0.12838650916527702,0.1265519062700548
SERVER_TCP_FLAGS,0.22094361717756883,0.18514464536541747,0.33592540643475405,0.4070096154470586,0.4514914605731033,0.5125396836227374,0.7198493405754184,0.612029410969616,1.0,0.1384621204200981,0.1278214829251409,0.19236284797565778,0.287166732999086,0.28705012773644967,0.4197039690970702,0.24645504356644987,0.20927791314444644,0.4197039690970702,0.31602565748107936,0.45672282380125645,0.14025179358577466,0.13768294127417774,0.14326540634813872,0.1438188873887361,0.28889791699890977,0.49437166961515383,0.3993621313233489,0.1067840817444457,0.17249819100563785,0.12491147219577044,0.19900928056673486,0.4665679561925124,0.5439133964627824,0.0666389730832502,0.0666389730832502,0.06366385054300772,0.07519997041471815,0.05895420336504301,0.14396454002342612
FLOW_DURATION_MILLISECONDS,0.09701985070395644,0.30198231615554677,0.26633254236203185,0.1018209424004343,0.16410433827575752,0.1101778483683863,0.1648980369590669,0.1500525611952831,0.1384621204200981,1.0,0.8154808690793863,0.19998391483331077,0.3142369663323919,0.3144299502305777,0.27213171437202965,0.17679155752211625,0.12224314734459006,0.27213171437202965,0.29475399114468204,0.1686364423281313,0.026078035860053653,0.028141065190833783,0.025515292274946446,0.02506935581369379,0.28502928636504554,0.17965947586734649,0.12519045085905187,0.1168755998526914,0.04118202800155518,0.029951555957779517,0.03797499189709031,0.19128012854376175,0.12009488157181429,0.05892037469433062,0.05892037469433062,0.09329778596371793,0.11099947835740268,0.08625573407060208,0.012676408606167614
