Feature_1,Feature_2,NMI,Spearman,Abs_Spearman,Unified_Dependency
LONGEST_FLOW_PKT,MAX_IP_PKT_LEN,1.0,1.0,1.0,1.0
ICMP_TYPE,ICMP_IPV4_TYPE,1.0,0.999999999981887,0.999999999981887,0.9999999999909435
MIN_TTL,MAX_TTL,0.9969303876555029,0.9994960511630289,0.9994960511630289,0.9982132194092659
TCP_FLAGS,CLIENT_TCP_FLAGS,0.8750350577233158,0.9770958711022382,0.9770958711022382,0.926065464412777
OUT_BYTES,DST_TO_SRC_SECOND_BYTES,0.8490066854107462,0.996996782848699,0.996996782848699,0.9230017341297225
RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,0.7592632043529155,0.999888783226758,0.999888783226758,0.8795759937898368
RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,0.7212146128976848,0.9994005345302523,0.9994005345302523,0.8603075737139686
DNS_QUERY_ID,DNS_QUERY_TYPE,0.6357480533483066,0.994131320319809,0.994131320319809,0.8149396868340578
DST_TO_SRC_SECOND_BYTES,DST_TO_SRC_AVG_THROUGHPUT,0.6647022897653714,0.9562569613120647,0.9562569613120647,0.8104796255387181
OUT_BYTES,DST_TO_SRC_AVG_THROUGHPUT,0.6497372374280139,0.9607757685969298,0.9607757685969298,0.8052565030124719
TCP_FLAGS,SERVER_TCP_FLAGS,0.7198493405754184,0.8596950183554102,0.8596950183554102,0.7897721794654142
PROTOCOL,CLIENT_TCP_FLAGS,0.6265062075339694,-0.8860878765001383,0.8860878765001383,0.7562970420170538
OUT_BYTES,OUT_PKTS,0.5110360345395414,0.9895031343538426,0.9895031343538426,0.750269584446692
OUT_PKTS,DST_TO_SRC_SECOND_BYTES,0.4976999142167244,0.9878152603575248,0.9878152603575248,0.7427575872871246
PROTOCOL,TCP_FLAGS,0.5997849784090672,-0.8750799249265394,0.8750799249265394,0.7374324516678032
DNS_QUERY_TYPE,DNS_TTL_ANSWER,0.5517478597311096,0.9059418930698296,0.9059418930698296,0.7288448764004696
FLOW_DURATION_MILLISECONDS,DURATION_IN,0.8154808690793863,0.624383465413342,0.624383465413342,0.7199321672463641
CLIENT_TCP_FLAGS,TCP_WIN_MAX_IN,0.5012053324601363,0.9372073048447493,0.9372073048447493,0.7192063186524429
TCP_FLAGS,TCP_WIN_MAX_IN,0.49055357789638276,0.9274756549637778,0.9274756549637778,0.7090146164300803
CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,0.612029410969616,0.7914381547795932,0.7914381547795932,0.7017337828746046
SERVER_TCP_FLAGS,TCP_WIN_MAX_OUT,0.5439133964627824,0.8561124909376074,0.8561124909376074,0.700012943700195
IN_BYTES,MAX_IP_PKT_LEN,0.580177875681148,0.8088598394269388,0.8088598394269388,0.6945188575540434
IN_BYTES,LONGEST_FLOW_PKT,0.580177875681148,0.8088598394269388,0.8088598394269388,0.6945188575540434
IN_BYTES,SRC_TO_DST_SECOND_BYTES,0.7871942431851671,0.5838932082218391,0.5838932082218391,0.6855437257035031
OUT_PKTS,SERVER_TCP_FLAGS,0.5125396836227374,0.8472570302218007,0.8472570302218007,0.679898356922269
DNS_QUERY_ID,DNS_TTL_ANSWER,0.4149357579783882,0.9123006354030039,0.9123006354030039,0.663618196690696
MAX_IP_PKT_LEN,SRC_TO_DST_AVG_THROUGHPUT,0.5513300086997529,0.7466596701945509,0.7466596701945509,0.6489948394471519
LONGEST_FLOW_PKT,SRC_TO_DST_AVG_THROUGHPUT,0.5513300086997529,0.7466596701945509,0.7466596701945509,0.6489948394471519
RETRANSMITTED_IN_BYTES,ICMP_IPV4_TYPE,0.2916259420499256,0.9944007193963101,0.9944007193963101,0.6430133307231178
RETRANSMITTED_IN_BYTES,ICMP_TYPE,0.2916259420499256,0.9944006507351486,0.9944006507351486,0.6430132963925371
CLIENT_TCP_FLAGS,LONGEST_FLOW_PKT,0.5671088088341578,0.7131219658810004,0.7131219658810004,0.6401153873575791
CLIENT_TCP_FLAGS,MAX_IP_PKT_LEN,0.5671088088341578,0.7131219658810004,0.7131219658810004,0.6401153873575791
CLIENT_TCP_FLAGS,TCP_WIN_MAX_OUT,0.49738316156310675,0.7823940093814562,0.7823940093814562,0.6398885854722814
OUT_PKTS,DST_TO_SRC_AVG_THROUGHPUT,0.33341382962162813,0.9462285235909803,0.9462285235909803,0.6398211766063042
IN_BYTES,SRC_TO_DST_AVG_THROUGHPUT,0.6355067519676731,0.6309088135506401,0.6309088135506401,0.6332077827591567
MIN_IP_PKT_LEN,DST_TO_SRC_SECOND_BYTES,0.38286314685206546,0.8797714699293746,0.8797714699293746,0.63131730839072
OUT_PKTS,NUM_PKTS_UP_TO_128_BYTES,0.5350882063243858,0.7243252719584191,0.7243252719584191,0.6297067391414024
OUT_BYTES,MIN_IP_PKT_LEN,0.3788139820913441,0.878884781730596,0.878884781730596,0.6288493819109701
OUT_PKTS,TCP_WIN_MAX_OUT,0.46763007705101417,0.7849709746834225,0.7849709746834225,0.6263005258672183
SERVER_TCP_FLAGS,DST_TO_SRC_SECOND_BYTES,0.45672282380125645,0.7917050506673586,0.7917050506673586,0.6242139372343075
OUT_BYTES,SERVER_TCP_FLAGS,0.4514914605731033,0.7946888307242292,0.7946888307242292,0.6230901456486663
IN_BYTES,IN_PKTS,0.4535593919010521,0.7916882337851258,0.7916882337851258,0.622623812843089
RETRANSMITTED_IN_PKTS,ICMP_IPV4_TYPE,0.24690935404180636,0.994738317697498,0.994738317697498,0.6208238358696522
RETRANSMITTED_IN_PKTS,ICMP_TYPE,0.24690935404180636,0.9947382536854534,0.9947382536854534,0.6208238038636299
TCP_FLAGS,LONGEST_FLOW_PKT,0.5481264424041646,0.6857362696332343,0.6857362696332343,0.6169313560186995
TCP_FLAGS,MAX_IP_PKT_LEN,0.5481264424041646,0.6857362696332343,0.6857362696332343,0.6169313560186995
SERVER_TCP_FLAGS,DST_TO_SRC_AVG_THROUGHPUT,0.49437166961515383,0.7367842281261748,0.7367842281261748,0.6155779488706643
SERVER_TCP_FLAGS,TCP_WIN_MAX_IN,0.4665679561925124,0.7633108575015191,0.7633108575015191,0.6149394068470158
OUT_BYTES,LONGEST_FLOW_PKT,0.5334980859326468,0.6752321433428524,0.6752321433428524,0.6043651146377496
OUT_BYTES,MAX_IP_PKT_LEN,0.5334980859326468,0.6752321433428524,0.6752321433428524,0.6043651146377496
TCP_FLAGS,TCP_WIN_MAX_OUT,0.45150391531501016,0.7527765652443443,0.7527765652443443,0.6021402402796773
MIN_IP_PKT_LEN,DNS_QUERY_TYPE,0.5697201555450481,0.6341465525789736,0.6341465525789736,0.6019333540620109
MAX_IP_PKT_LEN,DST_TO_SRC_SECOND_BYTES,0.528317671093006,0.6687578674032011,0.6687578674032011,0.5985377692481035
LONGEST_FLOW_PKT,DST_TO_SRC_SECOND_BYTES,0.528317671093006,0.6687578674032011,0.6687578674032011,0.5985377692481035
DST_TO_SRC_SECOND_BYTES,TCP_WIN_MAX_OUT,0.42239632313283637,0.7654960368964834,0.7654960368964834,0.5939461800146599
MIN_IP_PKT_LEN,DST_TO_SRC_AVG_THROUGHPUT,0.3083818615135696,0.8778329813574806,0.8778329813574806,0.5931074214355251
OUT_BYTES,TCP_WIN_MAX_OUT,0.4199202973723103,0.765632897282787,0.765632897282787,0.5927765973275487
TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,0.4571979445116703,0.7099086642017463,0.7099086642017463,0.5835533043567083
IN_PKTS,NUM_PKTS_UP_TO_128_BYTES,0.5567964360294309,0.5949961631446646,0.5949961631446646,0.5758962995870478
PROTOCOL,TCP_WIN_MAX_IN,0.2678040774986546,-0.8670084190015132,0.8670084190015132,0.5674062482500839
LONGEST_FLOW_PKT,DST_TO_SRC_AVG_THROUGHPUT,0.4797163136364709,0.646595826872234,0.646595826872234,0.5631560702543524
MAX_IP_PKT_LEN,DST_TO_SRC_AVG_THROUGHPUT,0.4797163136364709,0.646595826872234,0.646595826872234,0.5631560702543524
