Block_ID,Feature_1,Feature_2,Dependency
1,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,0.8795759937898368
2,ICMP_TYPE,ICMP_IPV4_TYPE,0.9999999999909436
2,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,0.8603075737139686
2,RETRANSMITTED_IN_BYTES,ICMP_IPV4_TYPE,0.6430133307231178
2,RETRANSMITTED_IN_BYTES,ICMP_TYPE,0.6430132963925371
2,RETRANSMITTED_IN_PKTS,ICMP_IPV4_TYPE,0.6208238358696522
2,RETRANSMITTED_IN_PKTS,ICMP_TYPE,0.6208238038636299
4,DNS_QUERY_ID,DNS_QUERY_TYPE,0.8149396868340578
4,DNS_QUERY_TYPE,DNS_TTL_ANSWER,0.7288448764004696
4,DNS_QUERY_ID,DNS_TTL_ANSWER,0.663618196690696
4,MIN_IP_PKT_LEN,DNS_QUERY_TYPE,0.6019333540620109
4,MIN_IP_PKT_LEN,DNS_QUERY_ID,0.5364385025839973
4,MIN_IP_PKT_LEN,DNS_TTL_ANSWER,0.5067802337942856
7,FLOW_DURATION_MILLISECONDS,DURATION_IN,0.7199321672463641
9,MIN_TTL,MAX_TTL,0.998213219409266
11,TCP_FLAGS,CLIENT_TCP_FLAGS,0.926065464412777
11,PROTOCOL,CLIENT_TCP_FLAGS,0.7562970420170538
11,PROTOCOL,TCP_FLAGS,0.7374324516678032
11,CLIENT_TCP_FLAGS,TCP_WIN_MAX_IN,0.7192063186524429
11,TCP_FLAGS,TCP_WIN_MAX_IN,0.7090146164300803
11,PROTOCOL,TCP_WIN_MAX_IN,0.5674062482500839
12,LONGEST_FLOW_PKT,MAX_IP_PKT_LEN,1.0
12,IN_BYTES,LONGEST_FLOW_PKT,0.6945188575540434
12,IN_BYTES,MAX_IP_PKT_LEN,0.6945188575540434
12,LONGEST_FLOW_PKT,SRC_TO_DST_AVG_THROUGHPUT,0.6489948394471519
12,MAX_IP_PKT_LEN,SRC_TO_DST_AVG_THROUGHPUT,0.6489948394471519
12,IN_BYTES,SRC_TO_DST_AVG_THROUGHPUT,0.6332077827591567
13,OUT_BYTES,DST_TO_SRC_SECOND_BYTES,0.9230017341297224
13,DST_TO_SRC_SECOND_BYTES,DST_TO_SRC_AVG_THROUGHPUT,0.8104796255387181
13,OUT_BYTES,DST_TO_SRC_AVG_THROUGHPUT,0.8052565030124719
13,OUT_BYTES,OUT_PKTS,0.750269584446692
13,OUT_PKTS,DST_TO_SRC_SECOND_BYTES,0.7427575872871246
13,SERVER_TCP_FLAGS,TCP_WIN_MAX_OUT,0.700012943700195
13,OUT_PKTS,SERVER_TCP_FLAGS,0.679898356922269
13,OUT_PKTS,DST_TO_SRC_AVG_THROUGHPUT,0.6398211766063042
13,OUT_PKTS,TCP_WIN_MAX_OUT,0.6263005258672183
13,SERVER_TCP_FLAGS,DST_TO_SRC_SECOND_BYTES,0.6242139372343075
13,OUT_BYTES,SERVER_TCP_FLAGS,0.6230901456486663
13,SERVER_TCP_FLAGS,DST_TO_SRC_AVG_THROUGHPUT,0.6155779488706643
13,DST_TO_SRC_SECOND_BYTES,TCP_WIN_MAX_OUT,0.5939461800146599
13,OUT_BYTES,TCP_WIN_MAX_OUT,0.5927765973275487
13,DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_OUT,0.4895122389297595
14,IN_PKTS,NUM_PKTS_UP_TO_128_BYTES,0.5758962995870478
