alpha,block_id,block_size,features,mean_within_dependency,min_within_dependency,max_within_dependency
0.4,1,3,DNS_QUERY_ID | DNS_QUERY_TYPE | DNS_TTL_ANSWER,0.7761323258995692,0.7133546844331576,0.850778013531208
0.4,2,1,PROTOCOL,,,
0.4,3,2,FLOW_DURATION_MILLISECONDS | DURATION_IN,0.7008224268797597,0.7008224268797597,0.7008224268797597
0.4,4,1,L7_PROTO,,,
0.4,5,2,MIN_TTL | MAX_TTL,0.9984697857600184,0.9984697857600184,0.9984697857600184
0.4,6,1,SRC_TO_DST_SECOND_BYTES,,,
0.4,7,1,SHORTEST_FLOW_PKT,,,
0.4,8,1,NUM_PKTS_128_TO_256_BYTES,,,
0.4,9,2,IN_PKTS | NUM_PKTS_UP_TO_128_BYTES,0.5797162722985711,0.5797162722985711,0.5797162722985711
0.4,10,5,OUT_BYTES | OUT_PKTS | MIN_IP_PKT_LEN | DST_TO_SRC_SECOND_BYTES | DST_TO_SRC_AVG_THROUGHPUT,0.7500448057328697,0.5857466663066,0.9378007438735179
0.4,11,5,TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.7260544392255446,0.6088243763257158,0.9362715457506692
0.4,12,4,IN_BYTES | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | SRC_TO_DST_AVG_THROUGHPUT,0.7340962846613269,0.6327479889174533,1.0
0.4,13,1,NUM_PKTS_256_TO_512_BYTES,,,
0.4,14,1,NUM_PKTS_512_TO_1024_BYTES,,,
0.4,15,1,NUM_PKTS_1024_TO_1514_BYTES,,,
0.4,16,1,DURATION_OUT,,,
0.4,17,2,RETRANSMITTED_OUT_BYTES | RETRANSMITTED_OUT_PKTS,0.903638551677221,0.903638551677221,0.903638551677221
0.4,18,4,RETRANSMITTED_IN_BYTES | RETRANSMITTED_IN_PKTS | ICMP_TYPE | ICMP_IPV4_TYPE,0.7843201946080649,0.6956066938279946,0.9999999999891322
0.4,19,1,FTP_COMMAND_RET_CODE,,,
