alpha,block_id,block_size,features,mean_within_dependency,min_within_dependency,max_within_dependency
0.35,1,3,DNS_QUERY_ID | DNS_QUERY_TYPE | DNS_TTL_ANSWER,0.7962980288618163,0.7382229283043884,0.8686971768797831
0.35,2,1,PROTOCOL,,,
0.35,3,2,FLOW_DURATION_MILLISECONDS | DURATION_IN,0.6912675566964575,0.6912675566964575,0.6912675566964575
0.35,4,1,L7_PROTO,,,
0.35,5,2,MIN_TTL | MAX_TTL,0.9985980689353946,0.9985980689353946,0.9985980689353946
0.35,6,1,SRC_TO_DST_SECOND_BYTES,,,
0.35,7,1,SHORTEST_FLOW_PKT,,,
0.35,8,1,NUM_PKTS_128_TO_256_BYTES,,,
0.35,9,1,NUM_PKTS_256_TO_512_BYTES,,,
0.35,10,1,NUM_PKTS_512_TO_1024_BYTES,,,
0.35,11,1,NUM_PKTS_1024_TO_1514_BYTES,,,
0.35,12,2,IN_PKTS | NUM_PKTS_UP_TO_128_BYTES,0.5816262586543328,0.5816262586543328,0.5816262586543328
0.35,13,5,OUT_BYTES | OUT_PKTS | MIN_IP_PKT_LEN | DST_TO_SRC_SECOND_BYTES | DST_TO_SRC_AVG_THROUGHPUT,0.7729186081058015,0.6195641559039929,0.9452002487454154
0.35,14,5,TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.739765316713757,0.6214599123102197,0.9413745864196152
0.35,15,4,IN_BYTES | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | SRC_TO_DST_AVG_THROUGHPUT,0.7411248289285282,0.6325180919966017,1.0
0.35,16,1,DURATION_OUT,,,
0.35,17,2,RETRANSMITTED_OUT_BYTES | RETRANSMITTED_OUT_PKTS,0.9156698306209131,0.9156698306209131,0.9156698306209131
0.35,18,4,RETRANSMITTED_IN_BYTES | RETRANSMITTED_IN_PKTS | ICMP_TYPE | ICMP_IPV4_TYPE,0.8108151385326098,0.732998138810177,0.9999999999882265
0.35,19,1,FTP_COMMAND_RET_CODE,,,
