alpha,block_id,block_size,features,mean_within_dependency,min_within_dependency,max_within_dependency
0.25,1,3,DNS_QUERY_ID | DNS_QUERY_TYPE | DNS_TTL_ANSWER,0.8366294347863109,0.78795941604685,0.9045355035769334
0.25,2,1,PROTOCOL,,,
0.25,3,2,FLOW_DURATION_MILLISECONDS | DURATION_IN,0.672157816329853,0.672157816329853,0.672157816329853
0.25,4,1,L7_PROTO,,,
0.25,5,2,MIN_TTL | MAX_TTL,0.9988546352861473,0.9988546352861473,0.9988546352861473
0.25,6,1,IN_PKTS,,,
0.25,7,1,SRC_TO_DST_SECOND_BYTES,,,
0.25,8,4,IN_BYTES | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | SRC_TO_DST_AVG_THROUGHPUT,0.7551819174629307,0.6320582981548983,1.0
0.25,9,1,NUM_PKTS_128_TO_256_BYTES,,,
0.25,10,1,SHORTEST_FLOW_PKT,,,
0.25,11,5,TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.767187071690182,0.6467309842792273,0.9515806677575076
0.25,12,5,OUT_BYTES | OUT_PKTS | MIN_IP_PKT_LEN | DST_TO_SRC_SECOND_BYTES | DST_TO_SRC_AVG_THROUGHPUT,0.818666212851665,0.6871991350987785,0.9599992584892107
0.25,13,1,NUM_PKTS_UP_TO_128_BYTES,,,
0.25,14,1,NUM_PKTS_256_TO_512_BYTES,,,
0.25,15,1,NUM_PKTS_512_TO_1024_BYTES,,,
0.25,16,1,NUM_PKTS_1024_TO_1514_BYTES,,,
0.25,17,1,DURATION_OUT,,,
0.25,18,2,RETRANSMITTED_OUT_BYTES | RETRANSMITTED_OUT_PKTS,0.9397323885082973,0.9397323885082973,0.9397323885082973
0.25,19,4,RETRANSMITTED_IN_BYTES | RETRANSMITTED_IN_PKTS | ICMP_TYPE | ICMP_IPV4_TYPE,0.8638050263816998,0.8077810287745416,0.9999999999864153
0.25,20,1,FTP_COMMAND_RET_CODE,,,
