alpha,block_id,block_size,features,mean_within_dependency,min_within_dependency,max_within_dependency
0.3,1,3,DNS_QUERY_ID | DNS_QUERY_TYPE | DNS_TTL_ANSWER,0.8164637318240636,0.7630911721756192,0.8866163402283582
0.3,2,1,PROTOCOL,,,
0.3,3,2,MIN_TTL | MAX_TTL,0.998726352110771,0.998726352110771,0.998726352110771
0.3,4,3,L7_PROTO | FLOW_DURATION_MILLISECONDS | DURATION_IN,0.5862082470250353,0.530736890187762,0.6817126865131553
0.3,5,1,SRC_TO_DST_SECOND_BYTES,,,
0.3,6,5,IN_BYTES | LONGEST_FLOW_PKT | MAX_IP_PKT_LEN | SRC_TO_DST_AVG_THROUGHPUT | NUM_PKTS_128_TO_256_BYTES,0.663014739795297,0.48136351337463545,1.0
0.3,7,1,SHORTEST_FLOW_PKT,,,
0.3,8,2,NUM_PKTS_256_TO_512_BYTES | NUM_PKTS_512_TO_1024_BYTES,0.5190042538888306,0.5190042538888306,0.5190042538888306
0.3,9,1,NUM_PKTS_1024_TO_1514_BYTES,,,
0.3,10,2,IN_PKTS | NUM_PKTS_UP_TO_128_BYTES,0.5835362450100945,0.5835362450100945,0.5835362450100945
0.3,11,5,OUT_BYTES | OUT_PKTS | MIN_IP_PKT_LEN | DST_TO_SRC_SECOND_BYTES | DST_TO_SRC_AVG_THROUGHPUT,0.7957924104787331,0.6533816455013857,0.9525997536173131
0.3,12,5,TCP_FLAGS | CLIENT_TCP_FLAGS | SERVER_TCP_FLAGS | TCP_WIN_MAX_IN | TCP_WIN_MAX_OUT,0.7534761942019694,0.6340954482947234,0.9464776270885614
0.3,13,1,DURATION_OUT,,,
0.3,14,2,RETRANSMITTED_OUT_BYTES | RETRANSMITTED_OUT_PKTS,0.9277011095646052,0.9277011095646052,0.9277011095646052
0.3,15,4,RETRANSMITTED_IN_BYTES | RETRANSMITTED_IN_PKTS | ICMP_TYPE | ICMP_IPV4_TYPE,0.8373100824571548,0.7703895837923592,0.9999999999873208
0.3,16,1,FTP_COMMAND_RET_CODE,,,
